Игрок 2: Было 1000$, стало -172
Игрок 1: Было 1000$, стало -419
Игрок 3: Было 1000$, стало -124
Игрок 5: Было 1000$, стало -491
Игрок 8: Было 1000$, стало -573
Игрок 4: Было 1000$, стало -293
Игрок 9: Было 1000$, стало -569
Игрок 6: Было 1000$, стало -684
Игрок 7: Было 1000$, стало -524
Игрок 10: Было 1000$, стало -611
Игрок 11: Было 1000$, стало -475
Игрок 14: Было 1000$, стало -183
Игрок 13: Было 1000$, стало -176
Игрок 12: Было 1000$, стало -456
Игрок 15: Было 1000$, стало -522
Игрок 16: Было 1000$, стало -472
Игрок 17: Было 1000$, стало -637
Игрок 18: Было 1000$, стало -471
Игрок 19: Было 1000$, стало -26
Игрок 20: Было 1000$, стало -480
Игрок 22: Было 1000$, стало -54
Игрок 23: Было 1000$, стало -814
Игрок 21: Было 1000$, стало -7
Игрок 25: Было 1000$, стало -48
Игрок 24: Было 1000$, стало -401
Игрок 27: Было 1000$, стало -148
Игрок 28: Было 1000$, стало -206
Игрок 26: Было 1000$, стало -481
Игрок 29: Было 1000$, стало -19
Игрок 30: Было 1000$, стало -60
Игрок 32: Было 1000$, стало -459
Игрок 31: Было 1000$, стало -555
Игрок 33: Было 1000$, стало -127
Игрок 34: Было 1000$, стало -664
Игрок 36: Было 1000$, стало -28
Игрок 35: Было 1000$, стало -547
Игрок 37: Было 1000$, стало -415
Игрок 38: Было 1000$, стало -515
Игрок 39: Было 1000$, стало -242
Игрок 40: Было 1000$, стало -493
Игрок 41: Было 1000$, стало -259
Игрок 42: Было 1000$, стало -150
Игрок 43: Было 1000$, стало -668
Игрок 44: Было 1000$, стало -446
Игрок 47: Было 1000$, стало -158
Игрок 45: Было 1000$, стало -382
Игрок 46: Было 1000$, стало -157
Игрок 49: Было 1000$, стало -574
Игрок 48: Было 1000$, стало -589
Игрок 50: Было 1000$, стало -824
Игрок 52: Было 1000$, стало -309
Игрок 53: Было 1000$, стало -547
Игрок 51: Было 1000$, стало -477
Игрок 54: Было 1000$, стало -657
Игрок 55: Было 1000$, стало -322
